_RAJ2000,_DEJ2000,KIC,Teff,log(g),Mass,Prot,e_Prot,Rper,LPH,w,dP/P
292.07025,48.03896,10731790,5703,4.48,1.0202,5.539,0.014,20116.03,1.294,0.6944,0.002527532
291.48138,48.08116,10730270,5243,4.43,0.8972,24.25,2.369,2407.04,0.394,0.2652,0.0976907216
290.2836,48.02122,10727227,5691,4.44,1.0169,20.67,0.191,4043.19,0.625,0.4158,0.0092404451
288.45685,48.04636,10722988,6030,4.5,1.1162,14.594,0.041,1170.49,0.38,0.2762,0.0028093737
287.88687,48.0124,10721756,6246,4.64,1.186,5.795,0.125,1588.11,0.622,0.4542,0.0215703192
285.75671,48.0393,10717754,5836,4.75,1.0581,16.969,0.741,2350.24,0.341,0.2783,0.0436678649
283.87158,48.03542,10714205,5076,4.59,0.8539,22.77,0.152,1305.43,1.138,0.6065,0.0066754502
283.28342,48.03167,10713157,3761,4.79,0.4501,28.996,0.14,12024.58,1.2,0.6318,0.0048282522
282.6824,48.06737,10712063,4060,4.48,0.5666,13.052,0.023,10056.35,1.559,0.7407,0.001762182
282.49344,48.09741,10711756,5111,4.07,0.863,7.56,0.011,25640.04,1.498,0.7729,0.0014550265
281.75922,48.04892,10710452,4099,4.58,0.5822,34.295,0.69,2506.05,0.456,0.3279,0.020119551
281.17227,48.04541,10709349,5798,4.55,1.0471,12.356,0.047,1180.35,0.462,0.3193,0.00380382
298.43292,47.99193,10684697,4814,4.2,0.7857,31.377,0.294,2133.13,0.481,0.357,0.0093699206
297.66281,47.93632,10682027,5480,4.87,0.9594,13.302,0.21,3915.67,0.712,0.4455,0.0157870997
296.93423,47.98117,10679505,6408,4.53,1.2424,5.68,0.011,1695.42,0.568,0.4121,0.0019366197
296.87607,47.96762,10679319,5983,4.62,1.1018,10.471,0.015,8273.6,1.124,0.6429,0.0014325279
296.78479,47.95598,10679030,4269,4.58,0.6505,10.782,0.006,11080.27,1.355,0.7119,0.000556483
296.77203,47.98792,10678983,5627,4.62,0.9991,8.62,0.096,10251.94,0.956,0.5639,0.011136891
296.55606,47.93802,10678220,4304,4.59,0.6646,28.127,0.341,7815.12,1.028,0.5762,0.0121235823
294.07315,47.98084,10671153,6233,4.5,1.1816,4.708,0.033,626.18,0.399,0.2947,0.0070093458
293.24042,47.94851,10669022,5778,4.84,1.0414,17.151,0.271,676.84,0.507,0.3845,0.0158008279
292.93811,47.90508,10668298,6236,4.38,1.1826,7.023,0.13,493.23,0.434,0.3474,0.018510608
292.80112,47.92047,10667953,4836,4.36,0.7915,26.767,1.658,1505.32,0.885,0.5403,0.0619419434
292.16031,47.95185,10666394,4996,4.42,0.8332,18.328,0.027,7829.13,0.958,0.5729,0.0014731558
291.44653,47.94076,10664549,5189,4.54,0.8832,18.557,0.368,3616.57,0.74,0.4603,0.0198307916
289.05035,47.98479,10658900,5779,4.51,1.0417,34.511,0.241,4244.42,0.74,0.3883,0.0069832807
288.42044,47.98531,10657505,5925,4.45,1.0843,9.535,0.022,13418.64,1.287,0.694,0.0023072889
286.14883,47.91049,10653216,4842,4.16,0.793,34.411,1.161,6623.69,0.656,0.394,0.0337392113
282.57291,47.90423,10646889,5483,4.44,0.9602,5.021,0.057,12385.01,1.415,0.7281,0.0113523203
